progress_id,learner_id,course_id,progress_date,starting_score,current_score,score_change,completion_percentage,progress_status,badge_earned,recognition_tag
P00104,L009,READ01,2026-08-24,68.8,66.7,-2.1,100.0,Stable,Course Completion,Successful Completion
P00105,L009,SCI01,2025-09-29,66.7,66.7,0.0,30.4,Stable,Learning Milestone,Learning Progress
P00106,L009,SCI01,2025-12-17,66.7,68.8,2.1,48.3,Stable,Learning Milestone,Learning Progress
P00107,L009,SCI01,2026-01-03,66.7,70.6,3.9,50.6,Stable,Learning Milestone,Learning Progress
P00108,L009,SCI01,2026-06-10,66.7,68.4,1.7,100.0,Stable,Course Completion,Successful Completion
P00109,L010,ELA04,2025-09-05,77.8,77.8,0.0,23.8,Stable,Learning Milestone,Learning Progress
P00110,L010,ELA04,2025-09-25,77.8,80.0,2.2,23.6,Stable,Learning Milestone,Learning Progress
P00111,L010,ELA04,2026-02-06,77.8,76.5,-1.3,53.1,Stable,Learning Milestone,Learning Progress
P00112,L010,ELA04,2026-03-23,77.8,81.8,4.0,100.0,Stable,Course Completion,Successful Completion
P00113,L010,READ01,2025-09-15,69.2,69.2,0.0,26.7,Stable,Learning Milestone,Learning Progress
P00114,L010,READ01,2025-10-10,69.2,72.7,3.5,30.4,Stable,Learning Milestone,Learning Progress
P00115,L010,READ01,2026-02-19,69.2,76.9,7.7,54.6,Improving,Learning Milestone,Learning Progress
P00116,L010,READ01,2026-07-06,69.2,78.9,9.7,100.0,Improving,Course Completion,Successful Completion
P00117,L010,SCI03,2025-11-12,75.0,75.0,0.0,37.0,Stable,Learning Milestone,Learning Progress
P00118,L010,SCI03,2026-05-15,75.0,78.6,3.6,81.3,Stable,Learning Milestone,Learning Progress
P00119,L010,SCI03,2026-07-09,75.0,75.0,0.0,86.9,Stable,Learning Milestone,Learning Progress
P00120,L010,SCI03,2026-08-15,75.0,78.9,3.9,100.0,Stable,Course Completion,Successful Completion
P00121,L011,ELA01,2025-09-21,75.0,75.0,0.0,26.7,Stable,Learning Milestone,Learning Progress
P00122,L011,ELA01,2026-01-25,75.0,66.7,-8.3,57.6,Needs Attention,Learning Milestone,Learning Progress
P00123,L011,ELA01,2026-03-25,75.0,72.7,-2.3,65.8,Stable,Learning Milestone,Learning Progress
P00124,L011,ELA01,2026-06-19,75.0,80.0,5.0,100.0,Improving,Course Completion,Successful Completion
P00125,L011,MATH01,2025-09-08,72.7,72.7,0.0,25.4,Stable,Learning Milestone,Learning Progress
P00126,L011,MATH01,2025-10-15,72.7,78.6,5.9,41.4,Improving,Learning Milestone,Learning Progress
P00127,L011,MATH01,2026-02-06,72.7,72.7,0.0,64.7,Stable,Learning Milestone,Learning Progress
P00128,L011,MATH01,2026-06-08,72.7,76.5,3.8,100.0,Stable,Course Completion,Successful Completion
P00129,L011,READ01,2025-09-05,64.3,64.3,0.0,25.3,Stable,Learning Milestone,Learning Progress
P00130,L011,READ01,2025-10-24,64.3,62.5,-1.8,37.1,Stable,Learning Milestone,Learning Progress
P00131,L011,READ01,2026-01-04,64.3,72.7,8.4,52.0,Improving,Learning Milestone,Learning Progress
P00132,L011,READ01,2026-08-25,64.3,72.7,8.4,100.0,Improving,Course Completion,Successful Completion
P00133,L012,ELA01,2025-10-04,73.3,73.3,0.0,33.6,Stable,Learning Milestone,Learning Progress
P00134,L012,ELA01,2025-12-12,73.3,64.7,-8.6,46.8,Needs Attention,Learning Milestone,Learning Progress
P00135,L012,ELA01,2026-03-23,73.3,70.0,-3.3,65.6,Stable,Learning Milestone,Learning Progress
P00136,L012,ELA01,2026-04-10,73.3,57.9,-15.4,100.0,Needs Attention,Course Completion,Successful Completion
P00137,L012,MATH01,2025-09-12,68.8,68.8,0.0,25.4,Stable,Learning Milestone,Learning Progress
P00138,L012,MATH01,2025-10-02,68.8,64.3,-4.5,34.6,Stable,Learning Milestone,Learning Progress
P00139,L012,MATH01,2026-03-05,68.8,66.7,-2.1,63.0,Stable,Learning Milestone,Learning Progress
P00140,L012,MATH01,2026-08-17,68.8,64.7,-4.1,100.0,Stable,Course Completion,Successful Completion
P00141,L012,SCI01,2025-09-06,66.7,66.7,0.0,24.9,Stable,Learning Milestone,Learning Progress
P00142,L012,SCI01,2026-03-19,66.7,63.2,-3.5,61.8,Stable,Learning Milestone,Learning Progress
P00143,L012,SCI01,2026-06-20,66.7,66.7,0.0,84.2,Stable,Learning Milestone,Learning Progress
P00144,L012,SCI01,2026-08-23,66.7,63.6,-3.1,100.0,Stable,Course Completion,Successful Completion
P00145,L013,ELA04,2025-09-02,72.7,72.7,0.0,20.9,Stable,Learning Milestone,Learning Progress
P00146,L013,ELA04,2026-01-13,72.7,75.0,2.3,57.4,Stable,Learning Milestone,Learning Progress
P00147,L013,ELA04,2026-05-25,72.7,73.3,0.6,78.1,Stable,Learning Milestone,Learning Progress
P00148,L013,ELA04,2026-07-25,72.7,70.6,-2.1,100.0,Stable,Course Completion,Successful Completion
P00149,L013,MATH04,2025-09-17,71.4,71.4,0.0,34.8,Stable,Learning Milestone,Learning Progress
P00150,L013,MATH04,2026-04-16,71.4,69.2,-2.2,75.0,Stable,Learning Milestone,Learning Progress
P00151,L013,MATH04,2026-06-25,71.4,72.7,1.3,84.7,Stable,Learning Milestone,Learning Progress
P00152,L013,MATH04,2026-08-08,71.4,75.0,3.6,100.0,Stable,Course Completion,Successful Completion
P00153,L013,READ01,2025-10-29,60.0,60.0,0.0,36.0,Stable,Learning Milestone,Learning Progress
P00154,L013,READ01,2026-02-19,60.0,71.4,11.4,57.5,Improving,Growth Champion,Strong Progress
P00155,L013,READ01,2026-04-08,60.0,73.7,13.7,72.0,Improving,Growth Champion,Strong Progress
P00156,L013,READ01,2026-06-05,60.0,68.8,8.8,100.0,Improving,Course Completion,Successful Completion
P00157,L014,MATH04,2025-11-05,76.9,76.9,0.0,38.7,Stable,Learning Milestone,Learning Progress
P00158,L014,MATH04,2025-11-28,76.9,75.0,-1.9,47.2,Stable,Learning Milestone,Learning Progress
P00159,L014,MATH04,2026-03-26,76.9,80.0,3.1,71.1,Stable,Learning Milestone,Learning Progress
P00160,L014,MATH04,2026-07-23,76.9,84.2,7.3,100.0,Improving,Course Completion,Successful Completion
P00161,L014,READ01,2026-01-14,70.0,70.0,0.0,54.8,Stable,Learning Milestone,Learning Progress
P00162,L014,READ01,2026-01-24,70.0,80.0,10.0,50.4,Improving,Growth Champion,Strong Progress
P00163,L014,READ01,2026-04-01,70.0,78.9,8.9,70.5,Improving,Learning Milestone,Learning Progress
P00164,L014,READ01,2026-08-04,70.0,73.7,3.7,100.0,Stable,Course Completion,Successful Completion
P00165,L014,SCI03,2025-12-05,76.9,76.9,0.0,46.1,Stable,Learning Milestone,Learning Progress
P00166,L014,SCI03,2026-03-03,76.9,85.7,8.8,61.5,Improving,Learning Milestone,Learning Progress
P00167,L014,SCI03,2026-07-21,76.9,80.0,3.1,99.9,Stable,Learning Milestone,Learning Progress
P00168,L014,SCI03,2026-08-01,76.9,81.8,4.9,100.0,Stable,Course Completion,Successful Completion
P00169,L015,ELA01,2025-11-28,68.8,68.8,0.0,47.0,Stable,Learning Milestone,Learning Progress
P00170,L015,ELA01,2025-12-11,68.8,76.5,7.7,41.7,Improving,Learning Milestone,Learning Progress
P00171,L015,ELA01,2026-03-24,68.8,75.0,6.2,69.1,Improving,Learning Milestone,Learning Progress
P00172,L015,ELA01,2026-08-18,68.8,77.8,9.0,100.0,Improving,Course Completion,Successful Completion
P00173,L015,MATH01,2025-09-03,72.7,72.7,0.0,25.6,Stable,Learning Milestone,Learning Progress
P00174,L015,MATH01,2026-01-09,72.7,75.0,2.3,49.8,Stable,Learning Milestone,Learning Progress
P00175,L015,MATH01,2026-05-26,72.7,66.7,-6.0,80.6,Needs Attention,Learning Milestone,Learning Progress
P00176,L015,MATH01,2026-07-12,72.7,77.8,5.1,100.0,Improving,Course Completion,Successful Completion
P00177,L015,SCI01,2025-10-10,70.6,70.6,0.0,40.2,Stable,Learning Milestone,Learning Progress
P00178,L015,SCI01,2025-10-22,70.6,72.7,2.1,32.0,Stable,Learning Milestone,Learning Progress
P00179,L015,SCI01,2025-12-16,70.6,70.6,0.0,44.6,Stable,Learning Milestone,Learning Progress
P00180,L015,SCI01,2026-05-12,70.6,70.0,-0.6,100.0,Stable,Course Completion,Successful Completion
P00181,L016,MATH04,2025-10-09,65.0,65.0,0.0,31.8,Stable,Learning Milestone,Learning Progress
P00182,L016,MATH04,2026-01-21,65.0,61.5,-3.5,53.9,Stable,Learning Milestone,Learning Progress
P00183,L016,MATH04,2026-06-21,65.0,75.0,10.0,89.7,Improving,Growth Champion,Strong Progress
P00184,L016,MATH04,2026-08-10,65.0,68.8,3.8,100.0,Stable,Course Completion,Successful Completion
P00185,L016,READ01,2025-09-03,60.0,60.0,0.0,23.0,Stable,Learning Milestone,Learning Progress
P00186,L016,READ01,2025-11-07,60.0,72.7,12.7,31.8,Improving,Growth Champion,Strong Progress
P00187,L016,READ01,2026-03-26,60.0,68.8,8.8,62.7,Improving,Learning Milestone,Learning Progress
P00188,L016,READ01,2026-07-27,60.0,70.6,10.6,100.0,Improving,Progress Star,Great Improvement
P00189,L016,SCI03,2025-09-16,66.7,66.7,0.0,30.5,Stable,Learning Milestone,Learning Progress
P00190,L016,SCI03,2025-12-02,66.7,70.0,3.3,47.8,Stable,Learning Milestone,Learning Progress
P00191,L016,SCI03,2026-03-23,66.7,60.0,-6.7,66.5,Needs Attention,Learning Milestone,Learning Progress
P00192,L016,SCI03,2026-07-28,66.7,71.4,4.7,100.0,Stable,Course Completion,Successful Completion
P00193,L017,ELA01,2025-09-06,73.3,73.3,0.0,20.0,Stable,Learning Milestone,Learning Progress
P00194,L017,ELA01,2025-09-25,73.3,69.2,-4.1,34.1,Stable,Learning Milestone,Learning Progress
P00195,L017,ELA01,2025-10-24,73.3,70.0,-3.3,32.6,Stable,Learning Milestone,Learning Progress
P00196,L017,ELA01,2026-07-14,73.3,73.7,0.4,100.0,Stable,Course Completion,Successful Completion
P00197,L017,MATH01,2025-09-07,69.2,69.2,0.0,28.3,Stable,Learning Milestone,Learning Progress
P00198,L017,MATH01,2025-10-01,69.2,76.9,7.7,32.4,Improving,Learning Milestone,Learning Progress
P00199,L017,MATH01,2025-12-18,69.2,72.2,3.0,47.6,Stable,Learning Milestone,Learning Progress
P00200,L017,MATH01,2026-08-10,69.2,81.8,12.6,100.0,Improving,Progress Star,Great Improvement
P00201,L017,READ01,2025-11-01,66.7,66.7,0.0,38.0,Stable,Learning Milestone,Learning Progress
P00202,L017,READ01,2025-11-10,66.7,66.7,0.0,43.3,Stable,Learning Milestone,Learning Progress
P00203,L017,READ01,2026-02-11,66.7,80.0,13.3,56.5,Improving,Growth Champion,Strong Progress
P00204,L017,READ01,2026-08-24,66.7,75.0,8.3,100.0,Improving,Course Completion,Successful Completion
P00205,L018,ELA01,2025-10-06,64.3,64.3,0.0,28.7,Stable,Learning Milestone,Learning Progress
P00206,L018,ELA01,2025-12-13,64.3,70.0,5.7,46.2,Improving,Learning Milestone,Learning Progress
P00207,L018,ELA01,2026-03-24,64.3,70.0,5.7,73.2,Improving,Learning Milestone,Learning Progress
P00208,L018,ELA01,2026-07-15,64.3,72.7,8.4,100.0,Improving,Course Completion,Successful Completion
P00209,L018,MATH01,2025-11-17,70.0,70.0,0.0,45.1,Stable,Learning Milestone,Learning Progress
P00210,L018,MATH01,2026-02-18,70.0,75.0,5.0,67.9,Improving,Learning Milestone,Learning Progress
P00211,L018,MATH01,2026-04-09,70.0,66.7,-3.3,71.0,Stable,Learning Milestone,Learning Progress
P00212,L018,MATH01,2026-05-19,70.0,69.2,-0.8,100.0,Stable,Course Completion,Successful Completion
P00213,L018,SCI01,2025-10-04,62.5,62.5,0.0,28.7,Stable,Learning Milestone,Learning Progress
P00214,L018,SCI01,2025-12-25,62.5,71.4,8.9,53.9,Improving,Learning Milestone,Learning Progress
P00215,L018,SCI01,2026-01-20,62.5,68.4,5.9,59.2,Improving,Learning Milestone,Learning Progress
P00216,L018,SCI01,2026-08-25,62.5,69.2,6.7,100.0,Improving,Course Completion,Successful Completion
P00217,L019,ELA02,2025-09-16,84.6,84.6,0.0,28.0,Stable,Learning Milestone,Learning Progress
P00218,L019,ELA02,2025-12-22,84.6,90.9,6.3,52.2,Improving,Learning Milestone,Learning Progress
P00219,L019,ELA02,2026-03-30,84.6,90.0,5.4,68.1,Improving,Learning Milestone,Learning Progress
P00220,L019,ELA02,2026-08-04,84.6,86.7,2.1,100.0,Stable,Course Completion,Successful Completion
P00221,L019,MATH02,2025-10-19,80.0,80.0,0.0,39.4,Stable,Learning Milestone,Learning Progress
P00222,L019,MATH02,2025-11-15,80.0,80.0,0.0,47.0,Stable,Learning Milestone,Learning Progress
P00223,L019,MATH02,2025-12-26,80.0,85.7,5.7,44.8,Improving,Learning Milestone,Learning Progress
P00224,L019,MATH02,2026-05-27,80.0,88.9,8.9,100.0,Improving,Course Completion,Successful Completion
P00225,L019,MATH03,2025-09-07,85.0,85.0,0.0,26.4,Stable,Learning Milestone,Learning Progress
P00226,L019,MATH03,2025-11-12,85.0,90.0,5.0,43.7,Improving,Learning Milestone,Learning Progress
P00227,L019,MATH03,2025-12-05,85.0,84.2,-0.8,40.0,Stable,Learning Milestone,Learning Progress
P00228,L019,MATH03,2026-04-22,85.0,88.2,3.2,100.0,Stable,Course Completion,Successful Completion
P00229,L020,MATH04,2025-09-17,75.0,75.0,0.0,25.9,Stable,Learning Milestone,Learning Progress
P00230,L020,MATH04,2026-01-06,75.0,71.4,-3.6,54.0,Stable,Learning Milestone,Learning Progress
P00231,L020,MATH04,2026-03-17,75.0,75.0,0.0,62.4,Stable,Learning Milestone,Learning Progress
P00232,L020,MATH04,2026-08-14,75.0,71.4,-3.6,100.0,Stable,Course Completion,Successful Completion
P00233,L020,READ01,2025-09-03,75.0,75.0,0.0,24.8,Stable,Learning Milestone,Learning Progress
P00234,L020,READ01,2025-09-28,75.0,64.3,-10.7,26.8,Needs Attention,Learning Milestone,Learning Progress
P00235,L020,READ01,2026-02-28,75.0,75.0,0.0,62.3,Stable,Learning Milestone,Learning Progress
P00236,L020,READ01,2026-05-09,75.0,69.2,-5.8,100.0,Needs Attention,Course Completion,Successful Completion
P00237,L020,SCI03,2025-09-22,72.7,72.7,0.0,27.1,Stable,Learning Milestone,Learning Progress
P00238,L020,SCI03,2026-01-20,72.7,71.4,-1.3,55.4,Stable,Learning Milestone,Learning Progress
P00239,L020,SCI03,2026-05-25,72.7,71.4,-1.3,72.7,Stable,Learning Milestone,Learning Progress
P00240,L020,SCI03,2026-08-26,72.7,76.5,3.8,100.0,Stable,Course Completion,Successful Completion
P00241,L021,ELA01,2025-11-13,66.7,66.7,0.0,30.7,Stable,Learning Milestone,Learning Progress
P00242,L021,ELA01,2025-12-14,66.7,75.0,8.3,51.7,Improving,Learning Milestone,Learning Progress
P00243,L021,ELA01,2026-05-23,66.7,64.7,-2.0,79.1,Stable,Learning Milestone,Learning Progress
P00244,L021,ELA01,2026-08-26,66.7,68.4,1.7,100.0,Stable,Course Completion,Successful Completion
P00245,L021,MATH01,2025-09-04,61.1,61.1,0.0,29.4,Stable,Learning Milestone,Learning Progress
P00246,L021,MATH01,2025-11-04,61.1,72.7,11.6,36.6,Improving,Growth Champion,Strong Progress
P00247,L021,MATH01,2026-03-26,61.1,71.4,10.3,68.5,Improving,Growth Champion,Strong Progress
P00248,L021,MATH01,2026-08-10,61.1,68.4,7.3,100.0,Improving,Course Completion,Successful Completion
P00249,L021,READ01,2025-10-20,66.7,66.7,0.0,33.2,Stable,Learning Milestone,Learning Progress
P00250,L021,READ01,2025-12-03,66.7,70.6,3.9,45.3,Stable,Learning Milestone,Learning Progress
P00251,L021,READ01,2026-04-15,66.7,72.7,6.0,74.7,Improving,Learning Milestone,Learning Progress
P00252,L021,READ01,2026-08-22,66.7,66.7,0.0,100.0,Stable,Course Completion,Successful Completion
P00253,L022,ELA01,2025-09-13,64.7,64.7,0.0,25.6,Stable,Learning Milestone,Learning Progress
P00254,L022,ELA01,2025-10-24,64.7,64.3,-0.4,34.6,Stable,Learning Milestone,Learning Progress
P00255,L022,ELA01,2026-01-05,64.7,64.3,-0.4,41.8,Stable,Learning Milestone,Learning Progress
P00256,L022,ELA01,2026-05-17,64.7,72.7,8.0,100.0,Improving,Course Completion,Successful Completion
P00257,L022,MATH01,2025-09-06,65.0,65.0,0.0,21.2,Stable,Learning Milestone,Learning Progress
P00258,L022,MATH01,2025-09-18,65.0,57.9,-7.1,31.0,Needs Attention,Learning Milestone,Learning Progress
