assessment_id,learner_id,course_id,assessment_date,assessment_type,attempt_number,questions_attempted,questions_correct,score_percentage,retry_count
AS00105,L005,MATH01,2026-05-27,Test,1,11,9,81.8,0
AS00106,L006,MATH01,2025-09-02,Test,2,19,12,63.2,1
AS00107,L006,MATH01,2025-11-21,Test,1,10,7,70.0,0
AS00108,L006,MATH01,2025-12-04,Test,2,17,10,58.8,1
AS00109,L006,MATH01,2025-12-15,Quiz,2,18,13,72.2,1
AS00110,L006,MATH01,2026-01-18,Test,1,14,9,64.3,0
AS00111,L006,MATH01,2026-03-19,Quiz,2,11,7,63.6,1
AS00112,L006,MATH01,2026-03-25,Quiz,2,18,12,66.7,1
AS00113,L006,MATH01,2026-06-15,Practice,2,20,14,70.0,1
AS00114,L006,MATH01,2026-07-08,Quiz,2,12,8,66.7,1
AS00115,L006,ELA01,2025-09-01,Practice,1,19,13,68.4,0
AS00116,L006,ELA01,2025-10-30,Test,1,11,7,63.6,0
AS00117,L006,ELA01,2025-12-17,Practice,1,14,9,64.3,0
AS00118,L006,ELA01,2026-02-25,Quiz,2,19,14,73.7,1
AS00119,L006,ELA01,2026-06-01,Practice,1,20,14,70.0,0
AS00120,L006,ELA01,2026-07-21,Practice,1,13,10,76.9,0
AS00121,L006,ELA01,2026-07-30,Quiz,2,12,9,75.0,1
AS00122,L006,SCI01,2026-01-10,Practice,1,19,12,63.2,0
AS00123,L006,SCI01,2026-03-15,Quiz,1,13,9,69.2,0
AS00124,L006,SCI01,2026-07-18,Practice,1,19,12,63.2,0
AS00125,L006,SCI01,2026-07-22,Test,1,12,8,66.7,0
AS00126,L006,SCI01,2026-08-01,Practice,1,16,11,68.8,0
AS00127,L006,SCI01,2026-08-19,Practice,2,11,7,63.6,1
AS00128,L007,ELA01,2025-11-30,Quiz,2,10,6,60.0,1
AS00129,L007,ELA01,2025-12-02,Quiz,1,16,11,68.8,0
AS00130,L007,ELA01,2025-12-06,Practice,2,11,7,63.6,1
AS00131,L007,ELA01,2026-01-23,Test,2,13,8,61.5,1
AS00132,L007,ELA01,2026-05-10,Test,2,16,12,75.0,1
AS00133,L007,ELA01,2026-06-19,Quiz,1,12,8,66.7,0
AS00134,L007,ELA01,2026-07-29,Practice,2,19,13,68.4,1
AS00135,L007,READ01,2025-09-07,Test,2,11,7,63.6,1
AS00136,L007,READ01,2025-09-23,Quiz,2,19,11,57.9,1
AS00137,L007,READ01,2025-10-27,Practice,3,11,6,54.5,2
AS00138,L007,READ01,2025-11-07,Practice,3,11,6,54.5,2
AS00139,L007,READ01,2026-01-06,Quiz,1,19,11,57.9,0
AS00140,L007,READ01,2026-07-27,Quiz,2,14,9,64.3,1
AS00141,L007,MATH01,2025-09-29,Quiz,1,10,6,60.0,0
AS00142,L007,MATH01,2025-11-03,Test,2,18,11,61.1,1
AS00143,L007,MATH01,2026-01-15,Quiz,2,16,11,68.8,1
AS00144,L007,MATH01,2026-06-06,Practice,2,10,6,60.0,1
AS00145,L007,MATH01,2026-06-06,Practice,1,12,9,75.0,0
AS00146,L007,MATH01,2026-07-19,Test,1,13,9,69.2,0
AS00147,L007,MATH01,2026-08-21,Test,1,16,11,68.8,0
AS00148,L008,READ01,2025-10-23,Practice,2,15,11,73.3,1
AS00149,L008,READ01,2025-10-27,Quiz,2,11,7,63.6,1
AS00150,L008,READ01,2025-11-26,Quiz,1,10,7,70.0,0
AS00151,L008,READ01,2025-12-24,Test,1,16,11,68.8,0
AS00152,L008,READ01,2026-01-23,Quiz,1,12,8,66.7,0
AS00153,L008,READ01,2026-05-10,Test,1,20,15,75.0,0
AS00154,L008,ELA02,2025-10-24,Quiz,1,11,8,72.7,0
AS00155,L008,ELA02,2026-01-14,Quiz,2,20,12,60.0,1
AS00156,L008,ELA02,2026-01-17,Practice,1,16,11,68.8,0
AS00157,L008,ELA02,2026-02-26,Practice,2,11,7,63.6,1
AS00158,L008,ELA02,2026-03-08,Practice,2,14,10,71.4,1
AS00159,L008,ELA02,2026-05-14,Practice,2,12,8,66.7,1
AS00160,L008,ELA02,2026-08-05,Practice,1,15,10,66.7,0
AS00161,L008,ELA02,2026-08-31,Practice,1,17,13,76.5,0
AS00162,L008,MATH02,2025-11-10,Test,1,18,14,77.8,0
AS00163,L008,MATH02,2026-01-04,Test,1,13,10,76.9,0
AS00164,L008,MATH02,2026-03-16,Test,1,16,11,68.8,0
AS00165,L008,MATH02,2026-04-03,Quiz,1,13,8,61.5,0
AS00166,L008,MATH02,2026-05-13,Quiz,2,15,11,73.3,1
AS00167,L008,MATH02,2026-06-03,Quiz,1,15,12,80.0,0
AS00168,L008,MATH02,2026-06-09,Practice,2,11,8,72.7,1
AS00169,L008,MATH02,2026-08-01,Quiz,1,15,12,80.0,0
AS00170,L009,SCI01,2025-09-29,Test,2,12,8,66.7,1
AS00171,L009,SCI01,2025-11-13,Quiz,1,12,8,66.7,0
AS00172,L009,SCI01,2025-12-17,Test,1,16,11,68.8,0
AS00173,L009,SCI01,2025-12-24,Quiz,1,11,7,63.6,0
AS00174,L009,SCI01,2026-01-03,Quiz,1,17,12,70.6,0
AS00175,L009,SCI01,2026-04-04,Quiz,2,10,7,70.0,1
AS00176,L009,SCI01,2026-04-24,Quiz,2,11,8,72.7,1
AS00177,L009,SCI01,2026-06-10,Practice,1,19,13,68.4,0
AS00178,L009,READ01,2025-11-11,Practice,1,16,11,68.8,0
AS00179,L009,READ01,2025-12-03,Practice,1,20,14,70.0,0
AS00180,L009,READ01,2026-02-01,Test,2,11,7,63.6,1
AS00181,L009,READ01,2026-04-29,Quiz,1,10,7,70.0,0
AS00182,L009,READ01,2026-04-29,Practice,2,18,12,66.7,1
AS00183,L009,READ01,2026-05-29,Practice,1,16,11,68.8,0
AS00184,L009,READ01,2026-08-24,Practice,1,18,12,66.7,0
AS00185,L009,ELA01,2025-10-18,Practice,1,12,8,66.7,0
AS00186,L009,ELA01,2025-11-20,Practice,2,19,13,68.4,1
AS00187,L009,ELA01,2025-12-26,Test,1,12,9,75.0,0
AS00188,L009,ELA01,2026-01-18,Test,1,19,13,68.4,0
AS00189,L009,ELA01,2026-03-13,Test,1,17,12,70.6,0
AS00190,L009,ELA01,2026-04-05,Practice,1,20,13,65.0,0
AS00191,L009,ELA01,2026-05-26,Practice,2,12,9,75.0,1
AS00192,L009,ELA01,2026-08-30,Practice,1,20,14,70.0,0
AS00193,L010,READ01,2025-09-15,Test,2,13,9,69.2,1
AS00194,L010,READ01,2025-10-10,Test,2,11,8,72.7,1
AS00195,L010,READ01,2025-10-24,Practice,1,10,8,80.0,0
AS00196,L010,READ01,2026-02-19,Test,1,13,10,76.9,0
AS00197,L010,READ01,2026-03-05,Quiz,1,10,8,80.0,0
AS00198,L010,READ01,2026-07-06,Test,1,19,15,78.9,0
AS00199,L010,ELA04,2025-09-05,Practice,2,18,14,77.8,1
AS00200,L010,ELA04,2025-09-24,Test,1,15,12,80.0,0
AS00201,L010,ELA04,2025-09-25,Practice,2,20,16,80.0,1
AS00202,L010,ELA04,2025-10-18,Quiz,2,18,13,72.2,1
AS00203,L010,ELA04,2026-01-23,Practice,1,10,7,70.0,0
AS00204,L010,ELA04,2026-02-06,Quiz,1,17,13,76.5,0
AS00205,L010,ELA04,2026-02-09,Test,1,14,12,85.7,0
AS00206,L010,ELA04,2026-03-02,Test,2,17,13,76.5,1
AS00207,L010,ELA04,2026-03-23,Quiz,1,11,9,81.8,0
AS00208,L010,SCI03,2025-11-12,Practice,1,20,15,75.0,0
AS00209,L010,SCI03,2025-11-22,Practice,1,17,13,76.5,0
AS00210,L010,SCI03,2026-05-15,Practice,1,14,11,78.6,0
AS00211,L010,SCI03,2026-05-23,Test,1,10,8,80.0,0
AS00212,L010,SCI03,2026-07-09,Test,2,16,12,75.0,1
AS00213,L010,SCI03,2026-08-01,Quiz,2,19,14,73.7,1
AS00214,L010,SCI03,2026-08-15,Practice,1,19,15,78.9,0
AS00215,L011,MATH01,2025-09-08,Quiz,1,11,8,72.7,0
AS00216,L011,MATH01,2025-10-15,Practice,2,14,11,78.6,1
AS00217,L011,MATH01,2025-11-13,Quiz,1,19,13,68.4,0
AS00218,L011,MATH01,2026-02-06,Practice,2,11,8,72.7,1
AS00219,L011,MATH01,2026-05-14,Practice,1,14,10,71.4,0
AS00220,L011,MATH01,2026-06-08,Quiz,1,17,13,76.5,0
AS00221,L011,ELA01,2025-09-21,Test,1,16,12,75.0,0
AS00222,L011,ELA01,2026-01-25,Test,1,12,8,66.7,0
AS00223,L011,ELA01,2026-03-06,Practice,1,19,13,68.4,0
AS00224,L011,ELA01,2026-03-25,Test,1,11,8,72.7,0
AS00225,L011,ELA01,2026-05-08,Test,2,17,13,76.5,1
AS00226,L011,ELA01,2026-06-19,Test,1,10,8,80.0,0
AS00227,L011,READ01,2025-09-05,Test,2,14,9,64.3,1
AS00228,L011,READ01,2025-10-24,Quiz,1,16,10,62.5,0
AS00229,L011,READ01,2025-11-19,Test,1,16,11,68.8,0
AS00230,L011,READ01,2026-01-04,Practice,1,11,8,72.7,0
AS00231,L011,READ01,2026-06-15,Practice,1,20,16,80.0,0
AS00232,L011,READ01,2026-08-25,Test,2,11,8,72.7,1
AS00233,L012,ELA01,2025-10-04,Test,1,15,11,73.3,0
AS00234,L012,ELA01,2025-12-12,Test,2,17,11,64.7,1
AS00235,L012,ELA01,2026-02-16,Practice,2,17,10,58.8,1
AS00236,L012,ELA01,2026-03-23,Practice,1,10,7,70.0,0
AS00237,L012,ELA01,2026-03-25,Practice,1,12,8,66.7,0
AS00238,L012,ELA01,2026-04-10,Test,2,19,11,57.9,1
AS00239,L012,MATH01,2025-09-12,Test,2,16,11,68.8,1
AS00240,L012,MATH01,2025-09-28,Quiz,2,12,8,66.7,1
AS00241,L012,MATH01,2025-10-02,Practice,2,14,9,64.3,1
AS00242,L012,MATH01,2025-12-18,Test,1,17,11,64.7,0
AS00243,L012,MATH01,2025-12-19,Practice,1,13,8,61.5,0
AS00244,L012,MATH01,2026-03-05,Quiz,1,12,8,66.7,0
AS00245,L012,MATH01,2026-04-09,Practice,2,16,10,62.5,1
AS00246,L012,MATH01,2026-05-01,Practice,2,12,8,66.7,1
AS00247,L012,MATH01,2026-08-17,Test,2,17,11,64.7,1
AS00248,L012,SCI01,2025-09-06,Test,1,18,12,66.7,0
AS00249,L012,SCI01,2026-03-01,Test,2,13,8,61.5,1
AS00250,L012,SCI01,2026-03-19,Practice,1,19,12,63.2,0
AS00251,L012,SCI01,2026-04-12,Test,1,20,14,70.0,0
AS00252,L012,SCI01,2026-06-20,Practice,2,15,10,66.7,1
AS00253,L012,SCI01,2026-08-21,Practice,1,12,8,66.7,0
AS00254,L012,SCI01,2026-08-23,Test,1,11,7,63.6,0
AS00255,L013,ELA04,2025-09-02,Test,2,11,8,72.7,1
AS00256,L013,ELA04,2025-11-04,Test,1,13,9,69.2,0
AS00257,L013,ELA04,2026-01-13,Quiz,1,12,9,75.0,0
AS00258,L013,ELA04,2026-04-19,Quiz,2,15,10,66.7,1
AS00259,L013,ELA04,2026-04-19,Quiz,1,20,13,65.0,0
AS00260,L013,ELA04,2026-05-25,Quiz,1,15,11,73.3,0
AS00261,L013,ELA04,2026-06-24,Test,1,14,9,64.3,0
AS00262,L013,ELA04,2026-07-22,Test,1,11,8,72.7,0
AS00263,L013,ELA04,2026-07-25,Practice,1,17,12,70.6,0
AS00264,L013,READ01,2025-10-29,Test,2,15,9,60.0,1
AS00265,L013,READ01,2025-11-30,Practice,1,12,9,75.0,0
AS00266,L013,READ01,2026-02-19,Test,1,14,10,71.4,0
AS00267,L013,READ01,2026-04-07,Practice,1,20,15,75.0,0
AS00268,L013,READ01,2026-04-08,Quiz,1,19,14,73.7,0
AS00269,L013,READ01,2026-04-23,Quiz,1,11,8,72.7,0
AS00270,L013,READ01,2026-05-26,Test,1,11,8,72.7,0
AS00271,L013,READ01,2026-06-05,Test,2,16,11,68.8,1
AS00272,L013,MATH04,2025-09-17,Quiz,1,14,10,71.4,0
AS00273,L013,MATH04,2026-04-16,Test,1,13,9,69.2,0
AS00274,L013,MATH04,2026-05-16,Practice,2,16,12,75.0,1
AS00275,L013,MATH04,2026-06-25,Practice,1,11,8,72.7,0
AS00276,L013,MATH04,2026-07-22,Test,1,16,11,68.8,0
AS00277,L013,MATH04,2026-08-08,Practice,2,16,12,75.0,1
AS00278,L014,READ01,2026-01-14,Practice,2,20,14,70.0,1
AS00279,L014,READ01,2026-01-16,Quiz,2,10,8,80.0,1
AS00280,L014,READ01,2026-01-24,Test,1,15,12,80.0,0
AS00281,L014,READ01,2026-02-05,Quiz,1,19,15,78.9,0
AS00282,L014,READ01,2026-04-01,Quiz,1,19,15,78.9,0
AS00283,L014,READ01,2026-05-18,Quiz,1,18,14,77.8,0
AS00284,L014,READ01,2026-08-04,Quiz,1,19,14,73.7,0
AS00285,L014,MATH04,2025-11-05,Quiz,2,13,10,76.9,1
AS00286,L014,MATH04,2025-11-21,Test,2,18,14,77.8,1
AS00287,L014,MATH04,2025-11-28,Test,1,16,12,75.0,0
AS00288,L014,MATH04,2026-02-10,Quiz,1,14,11,78.6,0
AS00289,L014,MATH04,2026-03-19,Quiz,1,15,12,80.0,0
AS00290,L014,MATH04,2026-03-26,Test,1,10,8,80.0,0
AS00291,L014,MATH04,2026-04-12,Test,2,19,15,78.9,1
AS00292,L014,MATH04,2026-05-23,Quiz,1,18,13,72.2,0
AS00293,L014,MATH04,2026-07-23,Test,1,19,16,84.2,0
AS00294,L014,SCI03,2025-12-05,Test,2,13,10,76.9,1
AS00295,L014,SCI03,2026-01-01,Practice,1,13,10,76.9,0
AS00296,L014,SCI03,2026-03-03,Practice,1,14,12,85.7,0
AS00297,L014,SCI03,2026-04-21,Test,1,11,9,81.8,0
AS00298,L014,SCI03,2026-07-21,Test,1,10,8,80.0,0
AS00299,L014,SCI03,2026-07-22,Test,1,11,9,81.8,0
AS00300,L014,SCI03,2026-08-01,Practice,1,11,9,81.8,0
AS00301,L015,SCI01,2025-10-10,Practice,1,17,12,70.6,0
AS00302,L015,SCI01,2025-10-18,Test,1,11,8,72.7,0
AS00303,L015,SCI01,2025-10-22,Practice,2,11,8,72.7,1
AS00304,L015,SCI01,2025-12-02,Test,1,16,11,68.8,0
AS00305,L015,SCI01,2025-12-16,Quiz,1,17,12,70.6,0
AS00306,L015,SCI01,2026-03-05,Quiz,2,14,10,71.4,1
AS00307,L015,SCI01,2026-03-20,Test,1,20,14,70.0,0
AS00308,L015,SCI01,2026-05-12,Practice,2,10,7,70.0,1
AS00309,L015,MATH01,2025-09-03,Quiz,2,11,8,72.7,1
AS00310,L015,MATH01,2025-11-21,Test,2,18,12,66.7,1
AS00311,L015,MATH01,2026-01-09,Practice,2,12,9,75.0,1
AS00312,L015,MATH01,2026-05-06,Quiz,1,11,8,72.7,0
AS00313,L015,MATH01,2026-05-26,Quiz,2,15,10,66.7,1
AS00314,L015,MATH01,2026-06-07,Practice,2,12,8,66.7,1
AS00315,L015,MATH01,2026-07-05,Practice,1,13,10,76.9,0
AS00316,L015,MATH01,2026-07-12,Practice,1,18,14,77.8,0
AS00317,L015,ELA01,2025-11-28,Test,2,16,11,68.8,1
AS00318,L015,ELA01,2025-12-08,Quiz,2,14,10,71.4,1
AS00319,L015,ELA01,2025-12-11,Practice,1,17,13,76.5,0
AS00320,L015,ELA01,2026-01-07,Practice,1,16,11,68.8,0
AS00321,L015,ELA01,2026-01-22,Test,1,15,11,73.3,0
AS00322,L015,ELA01,2026-03-24,Test,1,16,12,75.0,0
AS00323,L015,ELA01,2026-04-12,Test,1,15,11,73.3,0
AS00324,L015,ELA01,2026-05-21,Quiz,1,11,8,72.7,0
AS00325,L015,ELA01,2026-08-18,Practice,2,18,14,77.8,1
AS00326,L016,SCI03,2025-09-16,Quiz,1,15,10,66.7,0
AS00327,L016,SCI03,2025-10-29,Quiz,2,15,10,66.7,1
AS00328,L016,SCI03,2025-12-02,Quiz,1,20,14,70.0,0
AS00329,L016,SCI03,2026-02-28,Practice,2,15,11,73.3,1
AS00330,L016,SCI03,2026-03-23,Quiz,1,10,6,60.0,0
AS00331,L016,SCI03,2026-05-30,Practice,1,17,12,70.6,0
AS00332,L016,SCI03,2026-07-07,Practice,1,13,9,69.2,0
AS00333,L016,SCI03,2026-07-28,Test,1,14,10,71.4,0
AS00334,L016,MATH04,2025-10-09,Practice,1,20,13,65.0,0
AS00335,L016,MATH04,2025-10-23,Quiz,1,15,10,66.7,0
AS00336,L016,MATH04,2026-01-21,Practice,2,13,8,61.5,1
AS00337,L016,MATH04,2026-06-15,Practice,2,17,12,70.6,1
AS00338,L016,MATH04,2026-06-21,Practice,2,16,12,75.0,1
AS00339,L016,MATH04,2026-07-09,Test,1,12,8,66.7,0
AS00340,L016,MATH04,2026-08-10,Quiz,2,16,11,68.8,1
AS00341,L016,READ01,2025-09-03,Test,1,10,6,60.0,0
AS00342,L016,READ01,2025-09-10,Quiz,2,10,6,60.0,1
AS00343,L016,READ01,2025-11-07,Practice,1,11,8,72.7,0
AS00344,L016,READ01,2026-01-24,Practice,2,14,9,64.3,1
AS00345,L016,READ01,2026-03-26,Practice,2,16,11,68.8,1
AS00346,L016,READ01,2026-04-25,Practice,1,17,10,58.8,0
AS00347,L016,READ01,2026-06-22,Practice,1,14,10,71.4,0
AS00348,L016,READ01,2026-07-27,Quiz,1,17,12,70.6,0
AS00349,L017,ELA01,2025-09-06,Test,1,15,11,73.3,0
AS00350,L017,ELA01,2025-09-15,Quiz,2,16,11,68.8,1
AS00351,L017,ELA01,2025-09-25,Practice,1,13,9,69.2,0
AS00352,L017,ELA01,2025-10-23,Test,1,18,13,72.2,0
AS00353,L017,ELA01,2025-10-24,Quiz,2,10,7,70.0,1
AS00354,L017,ELA01,2025-11-11,Practice,2,11,8,72.7,1
AS00355,L017,ELA01,2025-12-24,Test,1,11,9,81.8,0
AS00356,L017,ELA01,2026-07-14,Practice,1,19,14,73.7,0
AS00357,L017,READ01,2025-11-01,Practice,1,12,8,66.7,0
AS00358,L017,READ01,2025-11-04,Quiz,1,20,15,75.0,0
AS00359,L017,READ01,2025-11-10,Test,1,18,12,66.7,0
AS00360,L017,READ01,2025-11-27,Practice,1,17,13,76.5,0
AS00361,L017,READ01,2026-02-11,Practice,1,15,12,80.0,0
AS00362,L017,READ01,2026-04-24,Practice,2,13,10,76.9,1
AS00363,L017,READ01,2026-06-26,Quiz,1,11,8,72.7,0
AS00364,L017,READ01,2026-08-24,Quiz,1,20,15,75.0,0
AS00365,L017,MATH01,2025-09-07,Practice,1,13,9,69.2,0
AS00366,L017,MATH01,2025-10-01,Practice,1,13,10,76.9,0
AS00367,L017,MATH01,2025-10-09,Test,1,13,10,76.9,0
AS00368,L017,MATH01,2025-12-18,Practice,1,18,13,72.2,0
AS00369,L017,MATH01,2026-05-12,Test,1,17,13,76.5,0
AS00370,L017,MATH01,2026-08-10,Quiz,1,11,9,81.8,0
AS00371,L018,ELA01,2025-10-06,Test,2,14,9,64.3,1
AS00372,L018,ELA01,2025-12-06,Test,1,14,9,64.3,0
AS00373,L018,ELA01,2025-12-13,Practice,2,20,14,70.0,1
AS00374,L018,ELA01,2026-03-17,Quiz,1,11,7,63.6,0
AS00375,L018,ELA01,2026-03-24,Quiz,1,10,7,70.0,0
AS00376,L018,ELA01,2026-04-20,Test,2,14,9,64.3,1
AS00377,L018,ELA01,2026-05-21,Practice,1,18,13,72.2,0
AS00378,L018,ELA01,2026-07-15,Quiz,1,11,8,72.7,0
AS00379,L018,MATH01,2025-11-17,Practice,1,10,7,70.0,0
AS00380,L018,MATH01,2025-12-18,Practice,2,11,8,72.7,1
AS00381,L018,MATH01,2026-02-18,Quiz,2,16,12,75.0,1
AS00382,L018,MATH01,2026-03-23,Practice,2,16,11,68.8,1
AS00383,L018,MATH01,2026-04-09,Test,1,18,12,66.7,0
AS00384,L018,MATH01,2026-04-09,Quiz,2,16,11,68.8,1
AS00385,L018,MATH01,2026-05-16,Quiz,2,20,14,70.0,1
AS00386,L018,MATH01,2026-05-19,Quiz,2,13,9,69.2,1
AS00387,L018,SCI01,2025-10-04,Quiz,2,16,10,62.5,1
AS00388,L018,SCI01,2025-10-22,Test,1,13,8,61.5,0
