activity_id,learner_id,course_id,activity_date,lesson_id,session_minutes,activities_completed,participation_rate,completion_percentage
A00129,L003,READ01,2025-09-20,READ01_L02,41,5,95.8,78.0
A00130,L003,READ01,2026-07-03,READ01_L07,47,4,86.3,99.1
A00131,L003,READ01,2026-02-24,READ01_L12,51,7,80.1,75.7
A00132,L003,READ01,2026-02-08,READ01_L07,51,6,80.6,74.4
A00133,L003,READ01,2026-07-08,READ01_L09,38,3,80.8,69.8
A00134,L003,READ01,2025-10-30,READ01_L07,34,4,76.2,79.0
A00135,L003,READ01,2026-06-23,READ01_L04,32,5,96.6,94.0
A00136,L003,ELA01,2025-09-23,ELA01_L12,45,3,83.8,88.4
A00137,L003,ELA01,2026-04-12,ELA01_L01,44,4,85.5,100.0
A00138,L003,ELA01,2026-05-25,ELA01_L09,36,4,79.1,72.4
A00139,L003,ELA01,2026-08-18,ELA01_L12,49,6,79.1,72.3
A00140,L003,ELA01,2026-08-10,ELA01_L04,44,4,77.6,85.1
A00141,L003,ELA01,2026-03-06,ELA01_L07,28,6,85.8,100.0
A00142,L003,ELA01,2025-10-06,ELA01_L11,37,4,79.3,83.3
A00143,L003,ELA01,2026-02-17,ELA01_L10,56,4,89.5,79.9
A00144,L003,ELA01,2026-02-08,ELA01_L11,34,4,73.2,94.7
A00145,L003,ELA01,2025-11-03,ELA01_L12,42,4,80.1,94.3
A00146,L003,ELA01,2026-02-01,ELA01_L09,36,4,100.0,100.0
A00147,L003,ELA01,2026-02-06,ELA01_L11,55,5,89.7,85.4
A00148,L003,ELA01,2026-03-29,ELA01_L06,49,5,88.9,95.0
A00149,L003,ELA01,2026-03-26,ELA01_L12,49,6,92.7,100.0
A00150,L003,SCI01,2026-06-11,SCI01_L03,41,5,82.9,73.1
A00151,L003,SCI01,2025-12-08,SCI01_L07,37,4,87.2,100.0
A00152,L003,SCI01,2026-08-07,SCI01_L07,40,3,85.7,94.7
A00153,L003,SCI01,2026-08-13,SCI01_L12,57,4,89.4,92.0
A00154,L003,SCI01,2025-11-29,SCI01_L10,52,4,86.2,89.6
A00155,L003,SCI01,2026-06-19,SCI01_L05,41,4,89.1,91.4
A00156,L003,SCI01,2026-03-27,SCI01_L09,32,4,92.8,84.4
A00157,L003,SCI01,2025-09-01,SCI01_L05,28,4,93.8,98.3
A00158,L003,SCI01,2026-01-25,SCI01_L04,39,4,96.7,100.0
A00159,L003,SCI01,2026-04-09,SCI01_L10,22,5,72.6,66.6
A00160,L003,SCI01,2026-07-08,SCI01_L11,45,4,76.0,69.3
A00161,L003,SCI01,2026-02-12,SCI01_L08,47,5,74.0,72.8
A00162,L003,SCI01,2026-04-15,SCI01_L08,31,3,99.0,90.7
A00163,L003,SCI01,2026-08-12,SCI01_L04,42,4,83.8,88.1
A00164,L003,MATH01,2026-05-01,MATH01_L12,51,4,74.2,87.6
A00165,L003,MATH01,2025-11-26,MATH01_L11,43,5,87.0,92.3
A00166,L003,MATH01,2025-10-14,MATH01_L05,50,4,89.4,97.9
A00167,L003,MATH01,2026-05-22,MATH01_L11,51,4,83.5,100.0
A00168,L003,MATH01,2026-07-22,MATH01_L10,28,4,83.9,75.7
A00169,L003,MATH01,2026-02-19,MATH01_L02,35,4,90.9,68.3
A00170,L003,MATH01,2025-12-30,MATH01_L11,20,3,80.6,89.7
A00171,L003,MATH01,2026-02-06,MATH01_L04,43,3,90.5,89.9
A00172,L003,MATH01,2025-12-11,MATH01_L03,30,6,84.2,94.7
A00173,L003,MATH01,2025-09-13,MATH01_L01,40,4,82.4,57.9
A00174,L003,MATH01,2026-01-04,MATH01_L08,34,3,82.2,78.9
A00175,L003,MATH01,2026-07-10,MATH01_L02,45,4,98.6,100.0
A00176,L003,MATH01,2026-04-22,MATH01_L07,47,4,95.4,87.6
A00177,L003,MATH01,2026-07-20,MATH01_L10,43,5,89.8,97.4
A00178,L003,MATH01,2025-12-09,MATH01_L12,35,6,92.6,95.0
A00179,L003,MATH01,2026-08-23,MATH01_L07,34,6,100.0,100.0
A00180,L003,MATH01,2026-05-12,MATH01_L07,36,4,79.0,84.1
A00181,L003,MATH01,2026-01-03,MATH01_L03,35,4,88.4,100.0
A00182,L004,READ01,2025-10-25,READ01_L13,39,4,83.3,84.7
A00183,L004,READ01,2026-04-06,READ01_L04,27,3,74.3,54.3
A00184,L004,READ01,2025-11-30,READ01_L13,41,3,72.6,91.5
A00185,L004,READ01,2026-08-23,READ01_L09,24,4,59.6,72.2
A00186,L004,READ01,2026-04-26,READ01_L01,32,5,82.9,82.4
A00187,L004,READ01,2026-06-13,READ01_L04,42,4,68.1,49.1
A00188,L004,READ01,2025-11-02,READ01_L08,46,3,81.3,86.0
A00189,L004,READ01,2025-11-08,READ01_L13,37,3,73.4,65.3
A00190,L004,READ01,2026-04-26,READ01_L11,45,4,69.2,64.8
A00191,L004,READ01,2026-05-30,READ01_L09,13,5,75.6,54.7
A00192,L004,SCI03,2026-04-15,SCI03_L10,26,2,66.5,80.5
A00193,L004,SCI03,2026-05-17,SCI03_L07,38,3,65.7,71.4
A00194,L004,SCI03,2026-06-08,SCI03_L08,25,4,70.1,64.1
A00195,L004,SCI03,2025-11-21,SCI03_L12,32,5,57.0,67.2
A00196,L004,SCI03,2026-05-02,SCI03_L08,33,3,66.6,91.6
A00197,L004,SCI03,2026-01-11,SCI03_L13,39,5,72.5,75.4
A00198,L004,SCI03,2026-01-05,SCI03_L14,34,3,67.4,66.9
A00199,L004,SCI03,2026-07-24,SCI03_L05,36,4,75.3,74.3
A00200,L004,SCI03,2026-05-25,SCI03_L08,19,4,70.1,74.2
A00201,L004,SCI03,2026-07-18,SCI03_L04,12,6,77.4,75.7
A00202,L004,SCI03,2026-01-19,SCI03_L08,27,4,78.3,65.7
A00203,L004,SCI03,2025-10-10,SCI03_L12,51,3,64.4,67.1
A00204,L004,SCI03,2026-01-25,SCI03_L04,39,4,76.4,80.8
A00205,L004,SCI03,2026-01-18,SCI03_L06,35,4,88.7,100.0
A00206,L004,SCI03,2026-02-11,SCI03_L15,45,4,78.3,64.6
A00207,L004,ELA04,2025-10-12,ELA04_L05,26,4,82.5,73.5
A00208,L004,ELA04,2025-11-17,ELA04_L08,38,4,68.9,74.0
A00209,L004,ELA04,2026-03-16,ELA04_L05,39,3,82.3,93.9
A00210,L004,ELA04,2026-08-28,ELA04_L07,26,4,79.0,87.4
A00211,L004,ELA04,2025-10-03,ELA04_L14,46,3,67.1,68.6
A00212,L004,ELA04,2026-03-28,ELA04_L11,35,2,68.1,50.8
A00213,L004,ELA04,2026-06-05,ELA04_L15,29,2,82.2,56.4
A00214,L004,ELA04,2026-04-01,ELA04_L02,25,5,64.3,76.4
A00215,L004,ELA04,2025-12-15,ELA04_L14,53,4,63.9,60.0
A00216,L004,ELA04,2026-03-19,ELA04_L01,54,2,49.4,29.7
A00217,L004,ELA04,2026-06-22,ELA04_L13,55,5,77.6,84.4
A00218,L004,ELA04,2026-05-03,ELA04_L01,42,4,74.2,77.6
A00219,L004,ELA04,2026-02-28,ELA04_L10,35,3,70.3,66.9
A00220,L004,ELA04,2026-03-19,ELA04_L14,35,2,55.9,42.7
A00221,L004,ELA04,2026-06-03,ELA04_L08,46,4,70.9,52.0
A00222,L004,ELA04,2026-05-08,ELA04_L08,43,2,61.5,58.8
A00223,L004,ELA04,2026-01-18,ELA04_L14,28,4,73.8,57.8
A00224,L004,ELA04,2026-05-07,ELA04_L01,38,2,64.6,69.9
A00225,L004,MATH04,2026-02-20,MATH04_L13,40,4,69.3,85.7
A00226,L004,MATH04,2025-11-24,MATH04_L15,32,4,70.4,77.0
A00227,L004,MATH04,2025-11-05,MATH04_L01,36,3,69.8,61.9
A00228,L004,MATH04,2026-03-21,MATH04_L01,49,2,58.2,49.9
A00229,L004,MATH04,2025-10-13,MATH04_L14,42,3,63.7,78.7
A00230,L004,MATH04,2025-11-09,MATH04_L15,38,3,64.1,89.8
A00231,L004,MATH04,2025-12-03,MATH04_L02,38,4,59.9,64.9
A00232,L004,MATH04,2026-01-12,MATH04_L13,34,4,68.0,66.2
A00233,L004,MATH04,2026-02-15,MATH04_L07,53,3,77.2,60.7
A00234,L004,MATH04,2026-04-21,MATH04_L11,56,3,68.7,88.4
A00235,L004,MATH04,2026-02-20,MATH04_L13,31,4,82.9,100.0
A00236,L004,MATH04,2026-01-21,MATH04_L14,34,3,66.4,54.2
A00237,L004,MATH04,2026-01-08,MATH04_L03,26,4,64.2,55.0
A00238,L004,MATH04,2026-04-29,MATH04_L01,23,4,71.3,81.3
A00239,L004,MATH04,2026-06-04,MATH04_L02,38,5,53.5,39.0
A00240,L004,MATH04,2026-02-27,MATH04_L08,39,3,82.8,82.2
A00241,L005,SCI01,2026-07-31,SCI01_L01,31,3,56.5,45.5
A00242,L005,SCI01,2025-09-16,SCI01_L04,19,2,53.4,42.5
A00243,L005,SCI01,2025-12-12,SCI01_L01,40,4,46.2,53.5
A00244,L005,SCI01,2026-07-16,SCI01_L03,28,4,43.3,45.0
A00245,L005,SCI01,2026-01-01,SCI01_L03,33,3,70.6,66.9
A00246,L005,SCI01,2026-05-01,SCI01_L11,29,3,53.1,64.6
A00247,L005,SCI01,2025-10-29,SCI01_L10,19,1,45.8,51.8
A00248,L005,SCI01,2025-12-21,SCI01_L08,13,3,43.2,73.1
A00249,L005,SCI01,2026-08-25,SCI01_L05,37,3,52.0,50.8
A00250,L005,SCI01,2026-03-08,SCI01_L03,28,3,59.4,63.3
A00251,L005,SCI01,2026-07-08,SCI01_L10,38,2,46.7,37.6
A00252,L005,MATH01,2025-11-23,MATH01_L05,23,3,56.3,56.2
A00253,L005,MATH01,2025-10-26,MATH01_L10,34,3,60.7,70.5
A00254,L005,MATH01,2025-09-14,MATH01_L05,35,3,63.2,47.4
A00255,L005,MATH01,2026-06-22,MATH01_L11,28,2,43.5,41.3
A00256,L005,MATH01,2026-03-12,MATH01_L07,34,3,52.5,58.3
A00257,L005,MATH01,2025-12-11,MATH01_L02,14,2,52.6,50.8
A00258,L005,MATH01,2026-07-01,MATH01_L12,35,4,42.4,57.0
A00259,L005,MATH01,2026-07-19,MATH01_L04,42,3,50.3,46.3
A00260,L005,MATH01,2025-10-23,MATH01_L12,28,2,47.1,49.2
A00261,L005,MATH01,2026-02-02,MATH01_L11,30,3,53.3,67.6
A00262,L005,MATH01,2026-07-05,MATH01_L02,18,1,59.6,70.8
A00263,L005,ELA01,2026-02-25,ELA01_L09,28,1,41.1,20.0
A00264,L005,ELA01,2026-04-08,ELA01_L11,36,2,56.4,25.3
A00265,L005,ELA01,2026-03-09,ELA01_L02,33,1,47.7,49.9
A00266,L005,ELA01,2026-05-18,ELA01_L11,35,3,51.9,40.2
A00267,L005,ELA01,2026-02-22,ELA01_L01,29,3,61.6,50.4
A00268,L005,ELA01,2026-04-04,ELA01_L08,23,2,48.5,69.0
A00269,L005,ELA01,2025-10-25,ELA01_L07,17,4,41.1,38.6
A00270,L005,ELA01,2026-03-05,ELA01_L11,38,2,46.7,68.6
A00271,L005,ELA01,2026-04-24,ELA01_L12,26,5,57.5,50.2
A00272,L005,ELA01,2025-11-18,ELA01_L07,33,4,58.0,76.7
A00273,L005,READ01,2026-05-26,READ01_L11,24,3,52.3,44.2
A00274,L005,READ01,2026-01-17,READ01_L10,31,2,68.1,70.4
A00275,L005,READ01,2026-06-03,READ01_L13,22,4,41.3,33.4
A00276,L005,READ01,2026-05-06,READ01_L08,34,4,43.7,52.3
A00277,L005,READ01,2026-04-12,READ01_L14,24,1,60.0,78.0
A00278,L005,READ01,2026-07-01,READ01_L05,28,4,49.5,56.1
A00279,L005,READ01,2026-02-13,READ01_L14,47,2,55.7,66.8
A00280,L005,READ01,2026-01-04,READ01_L14,32,4,52.5,58.6
A00281,L005,READ01,2025-10-15,READ01_L05,39,2,56.3,46.3
A00282,L005,READ01,2026-04-19,READ01_L04,14,5,43.7,30.4
A00283,L005,READ01,2026-04-26,READ01_L10,28,3,50.3,60.1
A00284,L005,READ01,2026-07-10,READ01_L11,25,2,58.9,62.3
A00285,L006,SCI01,2026-02-20,SCI01_L01,46,4,60.9,69.7
A00286,L006,SCI01,2026-05-12,SCI01_L06,43,3,68.1,52.6
A00287,L006,SCI01,2025-12-03,SCI01_L08,28,3,66.0,73.1
A00288,L006,SCI01,2025-12-18,SCI01_L06,34,3,72.8,93.2
A00289,L006,SCI01,2026-01-11,SCI01_L06,54,4,64.8,43.6
A00290,L006,SCI01,2026-01-22,SCI01_L10,36,4,68.9,77.0
A00291,L006,SCI01,2026-08-26,SCI01_L05,24,3,61.7,51.5
A00292,L006,SCI01,2026-06-12,SCI01_L01,38,5,58.2,62.9
A00293,L006,SCI01,2026-05-23,SCI01_L04,37,4,53.3,46.0
A00294,L006,SCI01,2025-10-14,SCI01_L04,33,2,61.8,69.6
A00295,L006,SCI01,2026-03-28,SCI01_L08,37,2,61.9,56.6
A00296,L006,SCI01,2026-06-12,SCI01_L04,30,5,68.6,63.8
A00297,L006,SCI01,2026-08-20,SCI01_L08,41,2,64.6,43.5
A00298,L006,SCI01,2026-07-28,SCI01_L12,43,3,50.6,81.3
A00299,L006,SCI01,2026-05-10,SCI01_L08,35,5,58.3,82.4
A00300,L006,SCI01,2025-09-09,SCI01_L02,43,4,79.3,86.4
A00301,L006,MATH01,2025-12-23,MATH01_L07,29,2,69.1,69.0
A00302,L006,MATH01,2026-08-21,MATH01_L04,30,4,61.5,72.9
A00303,L006,MATH01,2026-02-04,MATH01_L11,45,2,63.6,61.2
A00304,L006,MATH01,2026-06-25,MATH01_L06,18,3,57.1,55.7
A00305,L006,MATH01,2026-05-01,MATH01_L09,38,2,75.0,97.2
A00306,L006,MATH01,2026-05-30,MATH01_L06,38,3,72.6,61.1
A00307,L006,MATH01,2026-04-06,MATH01_L12,42,5,59.9,78.4
A00308,L006,MATH01,2026-06-09,MATH01_L06,24,3,58.9,37.7
A00309,L006,MATH01,2026-02-28,MATH01_L12,32,3,65.4,46.3
A00310,L006,MATH01,2026-04-21,MATH01_L05,29,2,67.0,32.5
A00311,L006,MATH01,2026-02-04,MATH01_L05,48,5,62.6,57.1
A00312,L006,MATH01,2025-12-28,MATH01_L02,37,2,58.0,61.6
A00313,L006,MATH01,2025-12-08,MATH01_L06,43,3,69.0,66.5
A00314,L006,MATH01,2025-11-01,MATH01_L12,27,3,55.8,60.2
A00315,L006,ELA01,2026-08-20,ELA01_L03,27,5,70.2,66.9
A00316,L006,ELA01,2025-12-08,ELA01_L04,27,1,62.7,73.3
A00317,L006,ELA01,2026-05-06,ELA01_L05,31,3,68.7,74.9
A00318,L006,ELA01,2026-06-29,ELA01_L09,29,4,50.3,35.3
A00319,L006,ELA01,2026-07-03,ELA01_L05,23,4,65.2,64.8
A00320,L006,ELA01,2025-10-22,ELA01_L04,43,2,49.9,40.2
A00321,L006,ELA01,2026-01-30,ELA01_L04,43,2,64.5,65.2
A00322,L006,ELA01,2026-03-04,ELA01_L03,39,3,66.3,61.9
A00323,L006,ELA01,2026-02-02,ELA01_L01,34,2,56.2,21.2
A00324,L006,ELA01,2026-08-29,ELA01_L09,41,1,66.3,54.2
A00325,L006,ELA01,2025-11-04,ELA01_L05,50,3,67.8,59.1
A00326,L006,ELA01,2025-09-24,ELA01_L01,44,2,61.4,51.8
A00327,L006,ELA01,2026-06-11,ELA01_L05,26,3,59.0,78.5
A00328,L006,ELA01,2026-08-24,ELA01_L03,31,3,65.4,46.7
A00329,L006,ELA01,2026-07-24,ELA01_L08,33,3,69.9,100.0
A00330,L006,ELA01,2025-10-23,ELA01_L01,27,3,65.2,79.0
A00331,L006,ELA01,2026-06-21,ELA01_L05,22,4,63.8,55.7
A00332,L006,ELA01,2026-04-29,ELA01_L08,42,3,77.8,93.2
A00333,L006,READ01,2026-02-22,READ01_L03,40,4,63.4,53.2
A00334,L006,READ01,2025-09-27,READ01_L05,42,3,57.7,52.9
A00335,L006,READ01,2026-05-03,READ01_L02,37,5,55.2,42.4
A00336,L006,READ01,2025-10-04,READ01_L07,45,3,63.0,68.5
A00337,L006,READ01,2026-05-10,READ01_L02,37,3,54.3,66.2
A00338,L006,READ01,2026-06-23,READ01_L11,54,4,72.3,76.3
A00339,L006,READ01,2026-08-18,READ01_L01,31,3,64.4,60.9
A00340,L006,READ01,2025-11-17,READ01_L03,44,2,64.2,77.9
A00341,L006,READ01,2026-06-16,READ01_L05,32,1,73.4,66.1
A00342,L006,READ01,2025-10-14,READ01_L04,33,2,73.2,67.2
A00343,L006,READ01,2025-10-31,READ01_L09,38,3,69.6,65.2
A00344,L006,READ01,2026-04-02,READ01_L10,26,5,59.7,55.8
A00345,L006,READ01,2026-07-03,READ01_L13,46,4,72.6,67.4
A00346,L006,READ01,2026-07-14,READ01_L04,33,2,66.1,70.0
A00347,L006,READ01,2026-05-26,READ01_L07,43,3,53.4,55.8
A00348,L006,READ01,2026-04-19,READ01_L08,31,4,65.1,59.4
A00349,L006,READ01,2026-01-31,READ01_L14,23,3,69.8,93.1
A00350,L007,SCI01,2026-02-04,SCI01_L10,26,3,50.0,52.2
A00351,L007,SCI01,2026-07-15,SCI01_L01,36,4,60.9,74.2
A00352,L007,SCI01,2026-07-10,SCI01_L12,30,4,61.3,84.1
A00353,L007,SCI01,2025-10-21,SCI01_L04,24,4,57.0,55.5
A00354,L007,SCI01,2026-07-18,SCI01_L04,39,2,40.7,39.6
A00355,L007,SCI01,2026-01-14,SCI01_L11,33,4,60.7,55.5
A00356,L007,SCI01,2025-10-12,SCI01_L03,30,4,62.2,69.5
A00357,L007,SCI01,2026-01-01,SCI01_L03,41,2,50.6,60.3
A00358,L007,SCI01,2026-06-10,SCI01_L02,47,3,61.0,56.8
A00359,L007,SCI01,2025-11-20,SCI01_L01,29,4,57.9,38.5
A00360,L007,SCI01,2026-03-29,SCI01_L08,23,4,49.6,70.2
