support_id,learner_id,course_id,support_date,observed_pattern,support_area,suggested_home_support,follow_up_date,follow_up_score,support_outcome
S00094,L055,MATH04,2026-07-22,Declining performance over time,Learning routine,Encourage a consistent learning routine and review challenging topics.,2026-07-29,82.4,Needs Review
S00095,L057,ELA04,2026-03-15,Developing assessment performance,Skill reinforcement,Provide additional practice and encourage the learner to explain the topic in their own words.,2026-06-20,69.2,Stable
S00096,L057,MATH04,2026-05-13,Developing assessment performance,Skill reinforcement,Provide additional practice and encourage the learner to explain the topic in their own words.,2026-06-12,66.7,Stable
S00097,L057,SCI03,2026-07-05,Developing assessment performance,Skill reinforcement,Provide additional practice and encourage the learner to explain the topic in their own words.,2026-07-18,71.4,Stable
S00098,L058,ELA02,2026-07-28,Developing assessment performance,Skill reinforcement,Provide additional practice and encourage the learner to explain the topic in their own words.,2026-07-30,70.6,Stable
S00099,L058,MATH02,2025-09-23,Developing assessment performance,Skill reinforcement,Provide additional practice and encourage the learner to explain the topic in their own words.,2025-12-06,58.8,Stable
S00100,L058,MATH03,2025-10-04,Developing assessment performance,Skill reinforcement,Provide additional practice and encourage the learner to explain the topic in their own words.,2025-10-28,66.7,Stable
S00101,L059,MATH03,2026-06-18,Declining performance over time,Learning routine,Encourage a consistent learning routine and review challenging topics.,2026-08-22,72.7,Needs Review
S00102,L064,ELA04,2026-05-09,Repeated low assessment performance,Topic practice,"Review the relevant topic with short, regular practice sessions.",2026-05-20,58.3,Stable
S00103,L064,READ01,2026-04-05,Repeated low assessment performance,Topic practice,"Review the relevant topic with short, regular practice sessions.",2026-08-25,64.7,Stable
S00104,L064,SCI03,2026-06-15,Repeated low assessment performance,Topic practice,"Review the relevant topic with short, regular practice sessions.",2026-07-15,50.0,Needs Review
S00105,L065,MATH02,2026-02-13,Developing assessment performance,Skill reinforcement,Provide additional practice and encourage the learner to explain the topic in their own words.,2026-02-15,75.0,Improved
S00106,L065,READ01,2025-10-03,Developing assessment performance,Skill reinforcement,Provide additional practice and encourage the learner to explain the topic in their own words.,2025-10-05,72.7,Stable
S00107,L067,ELA01,2025-10-15,Developing assessment performance,Skill reinforcement,Provide additional practice and encourage the learner to explain the topic in their own words.,2025-10-28,66.7,Needs Review
S00108,L067,MATH01,2026-02-03,Developing assessment performance,Skill reinforcement,Provide additional practice and encourage the learner to explain the topic in their own words.,2026-03-15,70.6,Stable
S00109,L067,SCI01,2026-01-15,Declining performance over time,Learning routine,Encourage a consistent learning routine and review challenging topics.,2026-01-22,70.0,Needs Review
S00110,L069,ELA03,2026-05-14,Repeated low assessment performance,Topic practice,"Review the relevant topic with short, regular practice sessions.",2026-08-25,63.2,Improved
S00111,L069,MATH03,2025-10-19,Repeated low assessment performance,Topic practice,"Review the relevant topic with short, regular practice sessions.",2025-12-20,60.0,Stable
S00112,L069,SCI02,2025-10-07,Repeated low assessment performance,Topic practice,"Review the relevant topic with short, regular practice sessions.",2025-12-05,63.2,Improved
S00113,L073,ELA02,2025-09-22,Developing assessment performance,Skill reinforcement,Provide additional practice and encourage the learner to explain the topic in their own words.,2025-09-28,66.7,Stable
S00114,L073,MATH03,2026-02-10,Developing assessment performance,Skill reinforcement,Provide additional practice and encourage the learner to explain the topic in their own words.,2026-03-16,64.7,Stable
S00115,L073,READ01,2025-10-25,Developing assessment performance,Skill reinforcement,Provide additional practice and encourage the learner to explain the topic in their own words.,2026-01-01,63.6,Stable
S00116,L075,ELA04,2026-02-14,Declining performance over time,Learning routine,Encourage a consistent learning routine and review challenging topics.,2026-06-01,76.9,Stable
S00117,L077,MATH01,2026-02-16,Developing assessment performance,Skill reinforcement,Provide additional practice and encourage the learner to explain the topic in their own words.,2026-04-11,69.2,Stable
S00118,L077,READ01,2026-06-08,Developing assessment performance,Skill reinforcement,Provide additional practice and encourage the learner to explain the topic in their own words.,2026-06-18,66.7,Needs Review
S00119,L077,SCI01,2026-07-23,Developing assessment performance,Skill reinforcement,Provide additional practice and encourage the learner to explain the topic in their own words.,2026-08-05,68.8,Stable
S00120,L078,ELA04,2026-01-15,Developing assessment performance,Skill reinforcement,Provide additional practice and encourage the learner to explain the topic in their own words.,2026-03-20,66.7,Stable
S00121,L080,ELA04,2026-06-07,Developing assessment performance,Skill reinforcement,Provide additional practice and encourage the learner to explain the topic in their own words.,2026-07-05,80.0,Improved
S00122,L080,READ01,2025-11-15,Developing assessment performance,Skill reinforcement,Provide additional practice and encourage the learner to explain the topic in their own words.,2025-12-13,72.2,Stable
S00123,L081,ELA01,2026-04-23,Developing assessment performance,Skill reinforcement,Provide additional practice and encourage the learner to explain the topic in their own words.,2026-05-12,66.7,Stable
S00124,L081,MATH01,2026-07-12,Developing assessment performance,Skill reinforcement,Provide additional practice and encourage the learner to explain the topic in their own words.,2026-08-09,68.8,Improved
S00125,L081,READ01,2026-04-07,Developing assessment performance,Skill reinforcement,Provide additional practice and encourage the learner to explain the topic in their own words.,2026-08-03,75.0,Improved
S00126,L083,ELA04,2026-03-30,Developing assessment performance,Skill reinforcement,Provide additional practice and encourage the learner to explain the topic in their own words.,2026-05-29,72.7,Improved
S00127,L083,READ01,2025-11-04,Developing assessment performance,Skill reinforcement,Provide additional practice and encourage the learner to explain the topic in their own words.,2025-12-21,70.0,Stable
S00128,L083,SCI03,2026-03-22,Developing assessment performance,Skill reinforcement,Provide additional practice and encourage the learner to explain the topic in their own words.,2026-08-17,73.3,Stable
S00129,L085,READ01,2026-06-05,Declining performance over time,Learning routine,Encourage a consistent learning routine and review challenging topics.,2026-08-03,100.0,Improved
S00130,L086,MATH04,2026-04-16,Developing assessment performance,Skill reinforcement,Provide additional practice and encourage the learner to explain the topic in their own words.,2026-04-18,72.2,Needs Review
S00131,L086,READ01,2025-11-21,Developing assessment performance,Skill reinforcement,Provide additional practice and encourage the learner to explain the topic in their own words.,2025-11-27,66.7,Needs Review
S00132,L088,ELA04,2026-01-19,Declining performance over time,Learning routine,Encourage a consistent learning routine and review challenging topics.,2026-02-22,60.0,Needs Review
S00133,L088,READ01,2025-11-04,Declining performance over time,Learning routine,Encourage a consistent learning routine and review challenging topics.,2025-12-04,66.7,Improved
S00134,L088,SCI03,2025-10-14,Developing assessment performance,Skill reinforcement,Provide additional practice and encourage the learner to explain the topic in their own words.,2025-11-15,64.7,Needs Review
S00135,L089,ELA01,2025-11-12,Developing assessment performance,Skill reinforcement,Provide additional practice and encourage the learner to explain the topic in their own words.,2025-11-19,65.0,Stable
S00136,L089,MATH01,2025-11-08,Developing assessment performance,Skill reinforcement,Provide additional practice and encourage the learner to explain the topic in their own words.,2026-02-22,69.2,Stable
S00137,L089,READ01,2026-03-01,Developing assessment performance,Skill reinforcement,Provide additional practice and encourage the learner to explain the topic in their own words.,2026-03-11,69.2,Needs Review
S00138,L090,ELA02,2026-05-15,Developing assessment performance,Skill reinforcement,Provide additional practice and encourage the learner to explain the topic in their own words.,2026-05-27,63.2,Stable
S00139,L090,ELA03,2026-03-20,Repeated low assessment performance,Topic practice,"Review the relevant topic with short, regular practice sessions.",2026-07-10,53.8,Stable
S00140,L090,SCI02,2025-11-03,Developing assessment performance,Skill reinforcement,Provide additional practice and encourage the learner to explain the topic in their own words.,2026-04-21,61.5,Stable
S00141,L092,ELA04,2026-02-17,Developing assessment performance,Skill reinforcement,Provide additional practice and encourage the learner to explain the topic in their own words.,2026-05-15,75.0,Stable
S00142,L092,MATH04,2026-04-04,Developing assessment performance,Skill reinforcement,Provide additional practice and encourage the learner to explain the topic in their own words.,2026-06-21,75.0,Stable
S00143,L092,READ01,2025-12-18,Developing assessment performance,Skill reinforcement,Provide additional practice and encourage the learner to explain the topic in their own words.,2025-12-29,70.0,Stable
S00144,L093,ELA01,2025-09-16,Developing assessment performance,Skill reinforcement,Provide additional practice and encourage the learner to explain the topic in their own words.,2025-11-29,69.2,Needs Review
S00145,L094,MATH01,2025-09-12,Developing assessment performance,Skill reinforcement,Provide additional practice and encourage the learner to explain the topic in their own words.,2026-01-13,69.2,Stable
S00146,L094,READ01,2026-01-17,Developing assessment performance,Skill reinforcement,Provide additional practice and encourage the learner to explain the topic in their own words.,2026-01-22,73.3,Stable
S00147,L094,SCI01,2026-05-16,Developing assessment performance,Skill reinforcement,Provide additional practice and encourage the learner to explain the topic in their own words.,2026-07-05,76.9,Improved
S00148,L096,ELA03,2026-07-04,Repeated low assessment performance,Topic practice,"Review the relevant topic with short, regular practice sessions.",2026-08-06,55.6,Stable
S00149,L096,MATH03,2026-08-15,Repeated low assessment performance,Topic practice,"Review the relevant topic with short, regular practice sessions.",2026-08-25,61.1,Improved
S00150,L096,SCI02,2026-03-27,Repeated low assessment performance,Topic practice,"Review the relevant topic with short, regular practice sessions.",2026-05-26,55.6,Improved
S00151,L098,ELA01,2026-03-27,Declining performance over time,Learning routine,Encourage a consistent learning routine and review challenging topics.,2026-06-07,76.9,Stable
S00152,L098,READ01,2026-05-06,Developing assessment performance,Skill reinforcement,Provide additional practice and encourage the learner to explain the topic in their own words.,2026-07-04,73.3,Stable
S00153,L098,SCI01,2026-06-14,Developing assessment performance,Skill reinforcement,Provide additional practice and encourage the learner to explain the topic in their own words.,2026-08-30,72.2,Stable
S00154,L099,READ01,2026-06-05,Declining performance over time,Learning routine,Encourage a consistent learning routine and review challenging topics.,2026-06-29,80.0,Stable
